flag_code,country_name,sovereign_country_code,sovereign_country_name
ISL,Iceland,ISL,Iceland
KGZ,Kyrgyzstan,KGZ,Kyrgyzstan
DJI,Djibouti,DJI,Djibouti
SVK,Slovakia,SVK,Slovakia
FSM,Micronesia,FSM,Micronesia
BHS,Bahamas,BHS,Bahamas
QAT,Qatar,QAT,Qatar
ZMB,Zambia,ZMB,Zambia
MKD,North Macedonia,MKD,North Macedonia
GEO,Georgia,GEO,Georgia
KHM,Cambodia,KHM,Cambodia
HRV,Croatia,HRV,Croatia
NLD,Netherlands,NLD,Netherlands
LUX,Luxembourg,LUX,Luxembourg
MNG,Mongolia,MNG,Mongolia
SDN,Sudan,SDN,Sudan
STP,Sao Tome and Principe,STP,Sao Tome and Principe
FIN,Finland,FIN,Finland
SLV,El Salvador,SLV,El Salvador
TUV,Tuvalu,TUV,Tuvalu
DNK,Denmark,DNK,Denmark
USA,United States,USA,United States
TUR,Turkey,TUR,Turkey
BES,"Bonaire, Sint Eustatius and Saba",NLD,Netherlands
DZA,Algeria,DZA,Algeria
COL,Colombia,COL,Colombia
NCL,New Caledonia,NCL,New Caledonia
CAN,Canada,CAN,Canada
FJI,Fiji,FJI,Fiji
ATG,Antigua and Barbuda,ATG,Antigua and Barbuda
BMU,Bermuda,BMU,Bermuda
NIC,Nicaragua,NIC,Nicaragua
